"","species","region","FULL_CU_IN","cuid","start_spawn_025","start_spawn_10","start_spawn_mean","end_spawn_975","end_spawn_90","end_spawn_mean","n_years","n_loc","dq"
"36","Chinook","Skeena","CK-46",205,233.131578947368,233.131578947368,234.915307017544,273.545454545455,273.545454545455,272.413832100913,91,4,1
"37","Chinook","Skeena","CK-48",210,222.275,223.48,229.251031506222,273.078947368421,264.888888888889,258.90036947331,266,15,1
"38","Chinook","Skeena","CK-49",206,223.20652173913,223.20652173913,225.701945080092,263.644736842105,263.644736842105,259.5664160401,80,2,2
"39","Chinook","Fraser","CK-5",305,219.647058823529,219.647058823529,219.647058823529,262.058823529412,262.058823529412,262.058823529412,34,1,1
"40","Chinook","Skeena","CK-50",207,227,227,237.873481781377,283.769230769231,283.769230769231,269.692404087141,63,7,2
"41","Chinook","Skeena","CK-51",227,227,227,232.363942307692,276.2,276.2,265.486080586081,63,5,2
"42","Chinook","Skeena","CK-53",222,231.5,232.333333333333,241.905920182078,286.9375,284.404761904762,272.638139904326,220,11,1
"43","Chinook","Skeena","CK-54",217,215.823529411765,217.5,227.686397488144,279.5,266.277777777778,256.80450729241,240,19,1
"44","Chinook","Skeena","CK-55",221,228,228,231.332611832612,258.714285714286,258.714285714286,257.354509545754,39,4,1
"45","Chinook","Skeena","CK-56",212,219.875,219.875,223.073611111111,263.833333333333,263.833333333333,250.594444444444,18,5,2
"46","Chinook","Nass","CK-57",401,186,195.75,208.750488177988,266,258,240.83018999998,220,13,1
"47","Chinook","Nass","CK-58",402,203,206.184210526316,226.962183358414,311.2,283.230769230769,267.553680320535,248,16,1
"48","Chinook","Fraser","CK-6",306,187.5,187.5,240.950980392157,321.444444444444,321.444444444444,297.247198879552,65,7,1
"49","Chinook","AlaskaTransboundary","CK-65",1008,NA,NA,NA,NA,NA,NA,0,0,3
"50","Chinook","AlaskaTransboundary","CK-67",1004,NA,NA,NA,NA,NA,NA,0,0,3
"51","Chinook","Yukon","CK-69",1211,NA,NA,NA,NA,NA,NA,0,0,3
"52","Chinook","Fraser","CK-7",307,265.972972972973,265.972972972973,265.972972972973,309.951219512195,309.951219512195,309.951219512195,37,1,1
"53","Chinook","Fraser","CK-8",308,252.027027027027,252.027027027027,252.027027027027,283.594594594595,283.594594594595,283.594594594595,37,1,1
"54","Chinook","Skeena","CK-80",229,221.5,221.5,223.948,258,258,250.581196581197,33,4,2
"55","Chinook","Skeena","CK-81",241,218.5,218.5,218.5,238.5,238.5,238.5,1,1,3
"56","Chinook","Fraser","CK-82",333,250.75,250.75,250.75,277.5,277.5,277.5,4,1,3
