"","species","region","FULL_CU_IN","cuid","start_spawn_025","start_spawn_10","start_spawn_mean","end_spawn_975","end_spawn_90","end_spawn_mean","n_years","n_loc","dq"
"224","Sockeye","Vancouver Island & Mainland Inlets","SEL-13-17",961,234.75,234.75,243.874562937063,312.933333333333,312.933333333333,295.864141414141,28,3,2
"225","Sockeye","Vancouver Island & Mainland Inlets","SEL-13-18",962,305,305,307.7,334.2,334.2,330.4,6,3,1
"226","Sockeye","Vancouver Island & Mainland Inlets","SEL-13-19",963,278.8,278.8,278.8,310.85,310.85,310.85,10,1,2
"227","Sockeye","Vancouver Island & Mainland Inlets","SEL-13-20",964,240.090909090909,240.090909090909,240.090909090909,274.5,274.5,274.5,22,1,1
"228","Sockeye","Vancouver Island & Mainland Inlets","SEL-13-21",NA,174.738095238095,174.738095238095,174.738095238095,239.475,239.475,239.475,20,1,1
"229","Sockeye","Vancouver Island & Mainland Inlets","SEL-13-22",966,268.8,268.8,268.8,296.5,296.5,296.5,5,1,3
"230","Sockeye","Vancouver Island & Mainland Inlets","SEL-13-23",967,245.857142857143,245.857142857143,245.857142857143,293.307692307692,293.307692307692,293.307692307692,13,1,2
"231","Sockeye","Vancouver Island & Mainland Inlets","SEL-13-xx",NA,263.733333333333,263.733333333333,263.733333333333,319.785714285714,319.785714285714,319.785714285714,14,1,1
"232","Sockeye","Central Coast","SEL-15-01",524,250,250,251.728070175439,294.657894736842,294.657894736842,288.96365914787,83,3,1
"233","Sockeye","Central Coast","SEL-15-02",525,239.642857142857,239.642857142857,248.290917932765,297.308510638298,297.308510638298,292.616988978899,364,9,1
"234","Sockeye","Central Coast","SEL-15-03",NA,260.908163265306,260.908163265306,261.47368947579,310.366666666667,310.366666666667,308.966666666667,90,2,1
"235","Sockeye","Central Coast","SEL-15-04",527,255.675675675676,255.675675675676,255.675675675676,320.081081081081,320.081081081081,320.081081081081,37,1,1
"236","Sockeye","Haida Gwaii","SEL-17-01",819,247.212121212121,247.212121212121,247.212121212121,282.121212121212,282.121212121212,282.121212121212,33,1,1
"237","Sockeye","Haida Gwaii","SEL-17-02",820,248.579545454545,248.579545454545,248.579545454545,276.761363636364,276.761363636364,276.761363636364,44,1,1
"238","Sockeye","Haida Gwaii","SEL-17-03",821,200.892857142857,200.892857142857,200.892857142857,235.821428571429,235.821428571429,235.821428571429,14,1,1
"239","Sockeye","Haida Gwaii","SEL-17-04",822,226.529411764706,226.529411764706,226.529411764706,267,267,267,17,1,1
"240","Sockeye","Haida Gwaii","SEL-17-05",823,229.137096774194,229.137096774194,229.137096774194,263.088709677419,263.088709677419,263.088709677419,62,1,1
"241","Sockeye","Haida Gwaii","SEL-17-06",824,257,257,257,279.625,279.625,279.625,15,1,1
"242","Sockeye","Haida Gwaii","SEL-17-07",825,242.9,242.9,242.9,268.152173913043,268.152173913043,268.152173913043,23,1,1
"243","Sockeye","Haida Gwaii","SEL-17-08",826,261.5,261.5,261.5,283.566666666667,283.566666666667,283.566666666667,45,1,1
"244","Sockeye","Haida Gwaii","SEL-17-09",827,245.053191489362,245.053191489362,245.053191489362,276.223404255319,276.223404255319,276.223404255319,47,1,1
"245","Sockeye","Central Coast","SEL-18-01",529,231.777777777778,231.777777777778,231.777777777778,278.22,278.22,278.22,25,1,1
"246","Sockeye","Central Coast","SEL-18-02",532,255.238095238095,255.238095238095,255.238095238095,285.741379310345,285.741379310345,285.741379310345,29,1,1
